sec,ESTABLISHED,TIME_WAIT,LISTEN,SYN_SENT,SYN_RECV,FIN_WAIT1,FIN_WAIT2,CLOSE_WAIT,CLOSING,LAST_ACK,CLOSED
1,1137,0,0,0,28,0,12,5,0,0,0
2,1137,0,0,0,28,0,12,5,0,0,0
3,1137,0,0,0,27,0,13,5,0,0,0
4,1137,1,0,0,28,0,12,5,0,0,0
5,1137,1,0,0,28,0,12,5,0,0,0
6,1137,1,0,0,29,0,12,5,0,0,0
7,1137,1,0,0,29,0,12,5,0,0,0
8,1137,1,0,0,40,0,13,5,0,0,0
9,1137,2,0,0,39,0,12,5,0,0,0
10,1137,2,0,0,38,0,12,5,0,0,0
11,1137,2,0,0,36,0,12,5,0,0,0
12,1137,2,0,0,37,0,12,5,0,0,0
13,1137,2,0,0,34,0,13,5,0,0,0
14,1137,3,0,0,32,0,12,5,0,0,0
15,982,3,0,0,32,153,14,5,0,0,0
16,536,3,0,0,27,601,14,0,0,0,0
17,124,3,0,0,26,1013,14,0,0,0,0
18,124,3,0,0,25,1013,14,0,0,0,0
19,124,4,0,0,25,1013,13,0,0,0,0
20,125,4,0,0,24,1013,13,0,0,0,0
21,127,4,0,0,21,1013,13,0,0,0,0
22,140,4,0,0,6,1013,13,0,0,0,0
23,140,4,0,0,5,1013,13,0,0,0,0
24,140,5,0,0,5,1013,12,0,0,0,0
25,140,5,0,0,5,1013,12,0,0,0,0
26,140,5,0,0,5,1013,12,0,0,0,0
27,140,5,0,0,5,1013,12,0,0,0,0
28,140,5,0,0,5,1013,12,0,0,0,0
29,140,6,0,0,5,1013,11,0,0,0,0
30,140,6,0,0,4,1013,11,0,0,0,0
31,141,6,0,0,3,1013,11,0,0,0,0
32,143,6,0,0,1,1013,11,0,0,0,0
33,143,6,0,0,1,1013,11,0,0,0,0
34,143,7,0,0,1,1013,10,0,0,0,0
35,143,7,0,0,1,1013,10,0,0,0,0
36,143,7,0,0,1,1013,10,0,0,0,0
37,143,7,0,0,1,1013,10,0,0,0,0
38,143,8,0,0,1,1013,9,0,0,0,0
39,143,8,0,0,0,1013,9,0,0,0,0
40,143,8,0,0,0,1013,9,0,0,0,0
41,143,8,0,0,0,1013,9,0,0,0,0
42,143,8,0,0,0,1013,9,0,0,0,0
43,143,9,0,0,0,1013,8,0,0,0,0
44,143,9,0,0,0,1013,8,0,0,0,0
45,143,9,0,0,0,1013,8,0,0,0,0
46,143,9,0,0,0,1013,8,0,0,0,0
47,143,9,0,0,0,1013,8,0,0,0,0
48,143,10,0,0,0,1013,7,0,0,0,0
49,143,10,0,0,0,1013,7,0,0,0,0
50,143,10,0,0,0,1013,7,1,0,0,0
51,143,10,0,0,0,1013,7,0,0,0,0
52,143,10,0,0,0,1013,7,0,0,0,0
53,143,11,0,0,0,1013,6,0,0,0,0
54,143,11,0,0,0,1013,6,0,0,0,0
55,143,11,0,0,0,1013,6,0,0,0,0
56,143,11,0,0,0,1013,6,0,0,0,0
57,143,11,0,0,0,1013,6,0,0,0,0
58,143,12,0,0,0,1013,5,0,0,0,0
59,143,12,0,0,0,1013,5,0,0,0,0
60,143,12,0,0,0,1013,5,0,0,0,0
61,143,12,0,0,0,1013,5,0,0,0,0
62,143,13,0,0,0,1013,4,0,0,0,0
63,143,12,0,0,0,1013,4,0,0,0,0
64,143,12,0,0,0,1013,4,0,0,0,0
65,143,12,0,0,0,1013,4,0,0,0,0
66,143,12,0,0,0,1013,4,0,0,0,0
67,143,13,0,0,0,1013,3,0,0,0,0
68,143,12,0,0,0,1013,3,0,0,0,0
69,143,12,0,0,0,1013,3,0,0,0,0
70,143,12,0,0,0,1013,3,0,0,0,0
71,143,12,0,0,0,1013,3,0,0,0,0
72,143,13,0,0,0,1013,2,0,0,0,0
73,143,12,0,0,0,1013,2,0,0,0,0
74,143,14,0,0,0,1013,0,0,0,0,0
75,143,14,0,0,0,1013,0,0,0,0,0
76,143,14,0,0,0,1013,0,0,0,0,0
77,143,14,0,0,0,1013,0,0,0,0,0
78,143,13,0,0,0,1013,0,0,0,0,0
79,143,13,0,0,0,1013,0,0,0,0,0
80,143,13,0,0,0,1013,0,0,0,0,0
81,143,13,0,0,0,1013,0,0,0,0,0
82,143,13,0,0,0,1013,0,0,0,0,0
83,143,12,0,0,0,1013,0,0,0,0,0
84,143,12,0,0,0,1013,0,0,0,0,0
85,143,12,0,0,0,1013,0,0,0,0,0
86,143,12,0,0,0,1013,0,0,0,0,0
87,143,11,0,0,0,1013,0,0,0,0,0
88,143,11,0,0,0,1013,0,0,0,0,0
89,21,11,0,0,0,1135,0,0,0,0,0
90,19,11,0,0,0,1137,0,0,0,0,0
91,20,11,0,0,0,1137,0,0,0,0,0
92,19,10,0,0,0,1137,0,0,0,0,0
93,18,10,0,0,0,1138,0,0,0,0,0
94,16,10,0,0,0,1140,0,0,0,0,0
95,3,10,0,0,0,1153,0,0,0,0,0
96,3,10,0,0,0,1153,0,0,0,0,0
97,3,9,0,0,0,1153,0,0,0,0,0
98,3,9,0,0,0,1153,0,0,0,0,0
99,3,9,0,0,0,1153,0,0,0,0,0
100,3,9,0,0,0,1153,0,0,0,0,0
101,3,9,0,0,0,1153,0,0,0,0,0
102,3,8,0,0,0,1153,0,0,0,0,0
103,3,8,0,0,0,1153,0,0,0,0,0
104,2,8,0,0,0,1154,0,0,0,0,0
105,0,8,0,0,0,1156,0,0,0,0,0
106,0,8,0,0,0,1156,0,0,0,0,0
107,0,7,0,0,0,1156,0,0,0,0,0
108,0,7,0,0,0,1156,0,0,0,0,0
109,0,7,0,0,0,1156,0,0,0,0,0
110,0,7,0,0,0,1156,0,0,0,0,0
111,0,7,0,0,0,1156,0,0,0,0,0
112,0,6,0,0,0,1156,0,0,0,0,0
113,0,6,0,0,0,1156,0,0,0,0,0
114,0,6,0,0,0,1156,0,0,0,0,0
115,0,6,0,0,0,1156,0,0,0,0,0
116,0,6,0,0,0,1156,0,0,0,0,0
117,0,5,0,0,0,143,1013,0,0,0,0
118,0,5,0,0,0,143,1013,0,0,0,0
119,0,5,0,0,0,143,1013,0,0,0,0
120,0,5,0,0,0,143,1013,0,0,0,0
121,0,4,0,0,0,143,1013,0,0,0,0
122,0,4,0,0,0,143,1013,0,0,0,0
123,0,4,0,0,0,143,1013,0,0,0,0
124,0,4,0,0,0,143,1013,0,0,0,0
125,0,4,0,0,0,143,1013,0,0,0,0
126,0,3,0,0,0,143,1013,0,0,0,0
127,0,3,0,0,0,143,1013,0,0,0,0
128,0,3,0,0,0,143,1013,0,0,0,0
129,0,3,0,0,0,143,1013,0,0,0,0
130,0,3,0,0,0,143,1013,0,0,0,0
131,0,2,0,0,0,143,1013,0,0,0,0
132,0,1015,0,0,0,143,0,0,0,0,0
133,0,1013,0,0,0,143,0,0,0,0,0
134,0,1013,0,0,0,141,0,0,0,0,0
135,0,1013,0,0,0,141,0,0,0,0,0
136,0,1013,0,0,0,141,0,0,0,0,0
137,0,1013,0,0,0,141,0,0,0,0,0
138,0,1013,0,0,0,141,0,0,0,0,0
139,0,1013,0,0,0,141,0,0,0,0,0
140,0,1013,0,0,0,141,0,0,0,0,0
141,0,1013,0,0,0,141,0,0,0,0,0
142,0,1013,0,0,0,141,0,0,0,0,0
143,0,1013,0,0,0,141,0,0,0,0,0
144,0,1013,0,0,0,141,0,0,0,0,0
145,0,1013,0,0,0,141,0,0,0,0,0
146,0,1013,0,0,0,141,0,0,0,0,0
147,0,1013,0,0,0,141,0,0,0,0,0
148,0,1013,0,0,0,141,0,0,0,0,0
149,0,1013,0,0,0,140,0,0,0,0,0
150,0,1013,0,0,0,138,0,0,0,0,0
151,0,1013,0,0,0,138,0,0,0,0,0
152,0,1013,0,0,0,138,0,0,0,0,0
153,0,1013,0,0,0,138,0,0,0,0,0
154,0,1013,0,0,0,138,0,0,0,0,0
155,0,1013,0,0,0,138,0,0,0,0,0
156,0,1013,0,0,0,138,0,0,0,0,0
157,0,1013,0,0,0,138,0,0,0,0,0
158,0,1013,0,0,0,138,0,0,0,0,0
159,0,1013,0,0,0,138,0,0,0,0,0
160,0,1013,0,0,0,138,0,0,0,0,0
161,0,1013,0,0,0,138,0,0,0,0,0
162,0,1013,0,0,0,138,0,0,0,0,0
163,0,1013,0,0,0,138,0,0,0,0,0
164,0,1013,0,0,0,138,0,0,0,0,0
165,0,1013,0,0,0,138,0,0,0,0,0
166,0,1013,0,0,0,138,0,0,0,0,0
167,0,1013,0,0,0,138,0,0,0,0,0
168,0,1013,0,0,0,138,0,0,0,0,0
169,0,1013,0,0,0,138,0,0,0,0,0
170,0,1013,0,0,0,138,0,0,0,0,0
171,0,1013,0,0,0,138,0,0,0,0,0
172,0,1013,0,0,0,138,0,0,0,0,0
173,0,1013,0,0,0,138,0,0,0,0,0
174,0,1013,0,0,0,138,0,0,0,0,0
175,0,1013,0,0,0,138,0,0,0,0,0
176,0,1013,0,0,0,138,0,0,0,0,0
177,0,1013,0,0,0,138,0,0,0,0,0
178,56,1017,0,0,0,0,0,0,0,0,0
179,580,1018,0,0,0,0,0,0,0,0,0
180,1111,1015,0,0,2,0,1,0,0,0,0
181,1142,1013,0,0,2,0,1,0,0,0,0
182,1142,1013,0,0,6,0,1,0,0,0,0
183,1142,1013,0,0,8,0,1,0,0,0,0
184,1142,1013,0,0,10,0,1,0,0,0,0
185,1142,1013,0,0,12,0,2,0,0,0,0
186,1142,1013,0,0,12,0,2,0,0,0,0
