sec,ESTABLISHED,TIME_WAIT,LISTEN,SYN_SENT,SYN_RECV,FIN_WAIT1,FIN_WAIT2,CLOSE_WAIT,CLOSING,LAST_ACK,CLOSED
1,327,0,0,0,0,0,0,0,0,0,0
2,525,0,0,0,0,0,0,0,0,0,0
3,706,0,0,0,0,0,0,0,0,0,0
4,885,0,0,0,0,0,0,0,0,0,0
5,1055,0,0,0,0,0,1,0,0,0,0
6,1142,0,0,0,2,0,1,0,0,0,0
7,1142,0,0,0,4,0,1,0,0,0,0
8,1141,0,0,0,6,0,1,1,0,0,0
9,1141,0,0,0,8,0,1,1,0,0,0
10,1141,0,0,0,11,0,2,1,0,0,0
11,1141,0,0,0,13,0,2,1,0,0,0
12,1141,0,0,0,15,0,2,1,0,0,0
13,1141,0,0,0,17,0,2,1,0,0,0
14,1141,0,0,0,19,0,2,1,0,0,0
15,1141,0,0,0,21,0,3,1,0,0,0
16,1141,0,0,0,23,0,3,1,0,0,0
17,1141,0,0,0,25,0,3,1,0,0,0
18,1141,0,0,0,27,0,3,1,0,0,0
19,1141,0,0,0,30,0,3,1,0,0,0
20,1141,0,0,0,33,0,4,1,0,0,0
21,1141,0,0,0,35,0,4,1,0,0,0
22,1141,0,0,0,37,0,4,1,0,0,0
23,1141,0,0,0,39,0,4,1,0,0,0
24,1141,0,0,0,41,0,4,1,0,0,0
25,1141,0,0,0,44,0,5,1,0,0,0
26,1141,0,0,0,46,0,5,1,0,0,0
27,1141,0,0,0,48,0,5,1,0,0,0
28,1141,0,0,0,50,0,5,1,0,0,0
29,1141,0,0,0,52,0,5,1,0,0,0
30,1141,0,0,0,56,0,6,1,0,0,0
31,1141,0,0,0,58,0,6,1,0,0,0
32,1141,0,0,0,60,0,6,1,0,0,0
33,1141,0,0,0,62,0,6,1,0,0,0
34,1141,0,0,0,64,0,6,1,0,0,0
35,1141,0,0,0,64,0,7,1,0,0,0
36,1141,0,0,0,64,0,7,1,0,0,0
37,1141,0,0,0,64,0,7,1,0,0,0
38,1141,0,0,0,64,0,7,1,0,0,0
39,1141,0,0,0,64,0,7,1,0,0,0
40,1141,0,0,0,64,0,8,1,0,0,0
41,1141,0,0,0,64,0,8,1,0,0,0
42,1141,0,0,0,64,0,8,1,0,0,0
43,1141,0,0,0,64,0,8,1,0,0,0
44,1140,0,0,0,64,1,8,1,0,0,0
45,1141,0,0,0,64,0,9,1,0,0,0
46,1141,0,0,0,64,0,9,1,0,0,0
47,1141,0,0,0,64,0,9,1,0,0,0
48,1141,0,0,0,64,0,9,1,0,0,0
49,1141,0,0,0,66,1,9,1,0,0,0
50,1141,0,0,0,64,0,10,1,0,0,0
51,1141,0,0,0,64,0,10,1,0,0,0
52,1141,0,0,0,64,0,10,1,0,0,0
53,1141,0,0,0,64,0,10,1,0,0,0
54,1141,0,0,0,63,0,11,1,0,0,0
55,1141,0,0,0,64,0,11,1,0,0,0
56,1141,0,0,0,64,0,11,1,0,0,0
57,1141,0,0,0,64,0,11,1,0,0,0
58,1141,0,0,0,64,0,11,1,0,0,0
59,1141,0,0,0,63,0,12,1,0,0,0
60,1141,0,0,0,63,0,12,1,0,0,0
61,1141,0,0,0,64,0,12,1,0,0,0
62,1141,0,0,0,64,0,12,1,0,0,0
63,1141,0,0,0,64,0,12,1,0,0,0
64,1141,1,0,0,63,0,12,1,0,0,0
65,1141,1,0,0,63,0,12,1,0,0,0
66,1141,1,0,0,63,0,12,1,0,0,0
67,1140,1,0,0,63,0,12,2,0,0,0
68,1140,1,0,0,63,0,12,2,0,0,0
69,1140,2,0,0,74,0,12,2,0,0,0
70,1140,2,0,0,71,0,12,2,0,0,0
71,1140,2,0,0,70,0,12,2,0,0,0
72,1140,2,0,0,71,0,12,2,0,0,0
73,1043,2,0,0,65,171,14,0,0,0,0
74,1031,3,0,0,59,353,17,0,0,0,0
75,1014,3,0,0,53,540,21,0,0,0,0
76,1020,4,0,0,37,724,23,0,0,0,0
77,1009,4,0,0,34,898,27,0,0,0,0
78,1060,5,0,0,33,1013,30,0,0,0,0
79,1125,5,0,0,34,1013,34,0,0,0,0
80,1125,5,0,0,58,1013,38,0,0,0,0
81,1124,5,0,0,55,1013,40,1,0,0,0
82,1122,5,0,0,49,1015,44,1,0,0,0
83,1122,6,0,0,45,1013,49,1,0,0,0
84,1119,6,0,0,43,1013,53,3,0,0,0
85,1117,6,0,0,43,1013,55,3,0,0,0
86,1122,6,0,0,32,1013,59,3,0,0,0
87,1119,6,0,0,29,1013,63,4,0,0,0
88,1116,7,0,0,26,1013,66,4,0,0,0
89,1112,7,0,0,24,1013,70,4,0,0,0
90,1110,7,0,0,22,1013,72,4,0,0,0
91,1106,7,0,0,18,1013,76,4,0,0,0
92,1102,7,0,0,16,1013,80,4,0,0,0
93,1103,8,0,0,10,1013,83,5,0,0,0
94,1100,8,0,0,8,1013,87,5,0,0,0
95,1098,8,0,0,7,1013,89,5,0,0,0
96,1094,8,0,0,6,1013,93,6,0,0,0
97,1090,8,0,0,5,1013,97,6,0,0,0
98,1084,9,0,0,4,1015,100,6,0,0,0
99,1081,9,0,0,2,1014,104,7,0,0,0
100,1078,9,0,0,2,1013,108,7,0,0,0
101,1074,9,0,0,2,1013,112,7,0,0,0
102,1070,9,0,0,2,1013,116,8,0,0,0
103,1066,10,0,0,2,1013,119,8,0,0,0
104,1063,10,0,0,2,1013,122,9,0,0,0
105,1060,10,0,0,2,1013,125,9,0,0,0
106,1056,10,0,0,2,1013,129,9,0,0,0
107,1052,10,0,0,2,1013,133,10,0,0,0
108,1048,11,0,0,2,1013,136,10,0,0,0
109,1045,11,0,0,2,1013,139,10,0,0,0
110,1042,11,0,0,0,1013,142,11,0,0,0
111,1038,11,0,0,0,1013,146,11,0,0,0
112,1034,12,0,0,0,1013,149,11,0,0,0
113,1030,12,0,0,0,1013,153,12,0,0,0
114,1027,12,0,0,0,1013,156,12,0,0,0
115,1024,12,0,0,0,1013,159,12,0,0,0
116,1021,12,0,0,0,1013,162,11,0,0,0
117,1017,13,0,0,0,1013,165,11,0,0,0
118,1013,13,0,0,0,1013,169,10,0,0,0
119,1010,13,0,0,0,1013,172,11,0,0,0
120,1005,13,0,0,0,1015,175,11,0,0,0
121,1002,13,0,0,0,1013,180,8,0,0,0
122,998,13,0,0,0,1013,183,9,0,0,0
123,997,13,0,0,0,1013,183,0,0,0,0
124,997,13,0,0,0,1013,183,0,0,0,0
125,997,13,0,0,0,1013,183,0,0,0,0
126,997,13,0,0,0,1013,183,0,0,0,0
127,997,13,0,0,0,1013,182,0,0,0,0
128,997,13,0,0,0,1013,182,0,0,0,0
129,997,13,0,0,0,1013,182,0,0,0,0
130,997,13,0,0,0,1013,182,0,0,0,0
131,997,17,0,0,0,1013,178,0,0,0,0
132,997,18,0,0,0,1013,176,0,0,0,0
133,997,22,0,0,0,1013,172,0,0,0,0
134,997,23,0,0,0,1013,170,0,0,0,0
135,997,27,0,0,0,1013,166,0,0,0,0
136,997,30,0,0,0,1013,162,0,0,0,0
137,997,34,0,0,0,1013,158,0,0,0,0
138,997,38,0,0,0,1013,154,0,0,0,0
139,997,42,0,0,0,1013,150,0,0,0,0
140,997,46,0,0,0,1013,146,0,0,0,0
141,997,49,0,0,0,1013,142,0,0,0,0
142,997,53,0,0,0,1013,138,0,0,0,0
